time,S,I,R
1,126499998,2,0
2,126499998,2,0
3,126499998,2,0
4,126499998,2,0
5,126499995,3,1
6,126499995,3,1
7,126499992,6,1
8,126499992,6,1
9,126499988,10,1
10,126499984,14,1
11,126499979,19,1
12,126499979,19,1
13,126499979,19,1
14,126499977,21,1
15,126499976,22,1
16,126499976,22,1
17,126499976,22,1
18,126499975,23,1
19,126499975,23,1
20,126499970,22,4
21,126499964,18,9
22,126499963,19,9
23,126499957,23,10
24,126499947,33,10
25,126499933,41,13
26,126499927,47,13
27,126499920,54,13
28,126499906,64,15
29,126499895,65,20
30,126499885,75,20
31,126499864,88,24
32,126499839,113,24
33,126499827,125,24
34,126499816,136,24
35,126499802,148,25
36,126499783,167,25
37,126499756,192,26
38,126499737,209,27
39,126499717,207,38
40,126499703,221,38
41,126499684,240,38
42,126499653,249,49
43,126499617,283,50
44,126499585,315,50
45,126499527,367,53
46,126499451,383,83
47,126499417,415,84
48,126499387,441,86
49,126499301,471,114
50,126499227,507,133
51,126499167,559,137
52,126499128,594,139
53,126499065,655,140
54,126499032,684,142
55,126498983,669,174
56,126498933,719,174
57,126498896,752,176
58,126498849,785,183
59,126498753,797,225
60,126498673,791,268
61,126498621,829,275
62,126498580,868,276
63,126498456,890,327
64,126498331,959,355
65,126498178,1010,406
66,126498045,1105,425
67,126497812,1268,460
68,126497606,1420,487
69,126497510,1512,489
70,126497254,1764,491
71,126496921,1991,544
72,126496635,2271,547
73,126496251,2559,595
74,126495874,2924,601
75,126495517,3269,607
76,126495219,3439,671
77,126494825,3795,690
78,126494253,4293,727
79,126493641,4869,745
80,126492940,5440,810
81,126492149,6051,900
82,126491618,6564,909
83,126491287,6833,940
84,126490754,7308,969
85,126490126,7796,1039
86,126489497,8293,1105
87,126488890,8806,1152
88,126488147,9243,1305
89,126487672,9500,1414
90,126487308,9824,1434
91,126486817,10099,1542
92,126486284,10358,1679
93,126485686,10624,1845
94,126485256,10964,1890
95,126484779,11151,2035
96,126484391,11201,2204
97,126484108,11260,2316
98,126483805,11525,2335
99,126483102,11254,2822
100,126482775,11343,2941
101,126481957,11073,3485
102,126481398,11120,3741
103,126480398,10520,4541
104,126480033,10491,4738
105,126479557,10265,5089
106,126479444,10354,5101
107,126478912,10018,5535
108,126478580,9860,5780
109,126477685,9195,6560
110,126475383,7031,8793
111,126475161,6883,8978
112,126474814,6710,9238
113,126474356,6352,9646
114,126473294,5486,10610
115,126472754,5050,11098
116,126472682,5086,11116
117,126471834,4286,11940
118,126471381,3899,12360
119,126471344,3918,12369
120,126471297,3939,12382
121,126470140,2864,13498
122,126469774,2544,13841
123,126469501,2321,14089
124,126469284,2186,14265
125,126469059,2003,14469
126,126468825,1829,14673
127,126468629,1685,14843
128,126468425,1621,14977
129,126468227,1573,15100
130,126468123,1555,15161
131,126468009,1511,15240
132,126467851,1425,15362
133,126467676,1350,15487
134,126467526,1260,15607
135,126467393,1215,15696
136,126467201,1117,15841
137,126467158,1158,15842
138,126467054,1132,15907
139,126466977,1097,15963
140,126466828,1050,16061
141,126466715,1007,16139
142,126466658,1032,16155
143,126466464,964,16286
144,126466322,908,16385
145,126466190,928,16441
146,126466065,943,16496
147,126465930,898,16586
148,126465782,842,16688
149,126465724,900,16688
150,126465547,863,16795
151,126465372,822,16903
152,126465317,877,16903
153,126465268,908,16912
154,126465060,818,17061
155,126464969,895,17068
156,126464832,942,17113
157,126464643,967,17195
158,126464482,990,17264
159,126464335,1067,17299
160,126464164,1116,17360
161,126463955,1185,17430
162,126463623,1299,17539
163,126463353,1463,17592
164,126463117,1487,17698
165,126462730,1652,17809
166,126462485,1821,17847
167,126462167,1863,17985
168,126461907,2017,18038
169,126461700,2222,18039
170,126460989,2223,18394
171,126460480,2568,18476
172,126460094,2954,18476
173,126459331,3013,18828
174,126458833,3083,19042
175,126458453,3327,19110
176,126457718,4062,19110
177,126456864,3884,19626
